ID,FINAL
354,HGDP00247
355,HGDP01361
356,HGDP00445
357,HGDP00423
358,HGDP00189
359,HGDP00243
360,HGDP00033
361,HGDP00011
362,HGDP00210
363,HGDP00082
364,HGDP00258
365,HGDP00315
366,HGDP00052
367,HGDP00074
368,HGDP00185
369,HGDP00072
370,HGDP00192
371,HGDP00244
372,HGDP00277
373,HGDP00412
374,HGDP00092
375,HGDP01358
376,HGDP00228
377,HGDP00264
378,HGDP00290
379,HGDP00330
380,HGDP00003
381,HGDP01359
382,HGDP00417
383,HGDP00025
384,HGDP00139
385,HGDP00536
386,HGDP00539
387,HGDP00205
388,HGDP00183
389,HGDP00402
390,HGDP00169
391,HGDP00080
392,HGDP00096
393,HGDP00015
394,HGDP00141
395,HGDP00879
396,HGDP00086
397,HGDP00298
398,HGDP00146
399,HGDP00251
400,HGDP00902
401,HGDP00150
402,HGDP00226
403,HGDP00309
404,HGDP00153
405,HGDP00519
406,HGDP00512
407,HGDP00088
408,HGDP00145
409,HGDP01357
410,HGDP00134
411,HGDP00137
412,HGDP00201
413,HGDP00880
414,HGDP00513
415,HGDP00900
416,HGDP00898
417,HGDP00527
418,HGDP01363
419,HGDP00524
420,HGDP00511
421,HGDP00154
422,HGDP01404
423,HGDP00143
424,HGDP01384
425,HGDP00899
426,HGDP00901
427,HGDP00177
428,HGDP00886
429,HGDP00078
430,HGDP01388
431,HGDP01360
432,HGDP00520
433,HGDP00149
434,HGDP00522
435,HGDP00535
436,HGDP00523
437,HGDP00518
438,HGDP00158
439,HGDP00094
440,HGDP00531
441,HGDP00537
442,HGDP00528
443,HGDP00151
444,HGDP00516
445,HGDP00895
446,HGDP00133
447,HGDP00891
448,HGDP00076
449,HGDP01362
450,HGDP00529
451,HGDP00883
452,HGDP00515
453,HGDP00140
454,HGDP00882
455,HGDP00538
456,HGDP01400
457,HGDP00148
458,HGDP00155
459,HGDP01398
460,HGDP00131
461,HGDP01382
462,HGDP00144
463,HGDP00884
464,HGDP01376
465,HGDP00889
466,HGDP01397
467,HGDP00896
468,HGDP01386
469,HGDP00525
470,HGDP00890
471,HGDP01403
472,HGDP00893
473,HGDP00897
474,HGDP00517
475,HGDP00799
476,HGDP00885
477,HGDP00161
478,HGDP00892
479,HGDP00888
480,HGDP01074
481,HGDP00881
482,HGDP00671
483,HGDP00514
484,HGDP01157
485,HGDP00894
486,HGDP01164
487,HGDP01156
488,HGDP00561
489,HGDP01073
490,HGDP00563
491,HGDP01399
492,HGDP00797
493,HGDP01375
494,HGDP01065
495,HGDP00572
496,HGDP00573
497,HGDP01066
498,HGDP00808
499,HGDP00583
500,HGDP01166
501,HGDP00807
502,HGDP01387
503,HGDP01367
504,HGDP00534
505,HGDP00670
506,HGDP00582
507,HGDP00579
508,HGDP00649
509,HGDP00651
510,HGDP00691
511,HGDP01071
512,HGDP00700
513,HGDP00590
514,HGDP00668
515,HGDP00632
516,HGDP00675
517,HGDP00803
518,HGDP00575
519,HGDP00794
520,HGDP01173
521,HGDP00565
522,HGDP00741
523,HGDP00674
524,HGDP01068
525,HGDP00646
526,HGDP00122
527,HGDP00248
528,HGDP00254
529,HGDP00179
530,HGDP00241
531,HGDP01075
532,HGDP00581
533,HGDP00045
534,HGDP00578
535,HGDP01366
536,HGDP01070
537,HGDP00868
538,HGDP00970
539,HGDP00631
540,HGDP00870
541,HGDP00546
542,HGDP00661
543,HGDP00682
544,HGDP00653
545,HGDP00129
546,HGDP00604
547,HGDP00684
548,HGDP00639
549,HGDP00620
550,HGDP00800
551,HGDP01171
552,HGDP01169
553,HGDP00802
554,HGDP00566
555,HGDP01149
556,HGDP00626
557,HGDP00102
558,HGDP00767
559,HGDP00326
560,HGDP00120
561,HGDP00175
562,HGDP00333
563,HGDP01155
564,HGDP00667
565,HGDP00863
566,HGDP00588
567,HGDP00556
568,HGDP00787
569,HGDP00858
570,HGDP01001
571,HGDP01161
572,HGDP01063
573,HGDP00912
574,HGDP00595
575,HGDP00621
576,HGDP00623
577,HGDP01269
578,HGDP00685
579,HGDP01067
580,HGDP01167
581,HGDP01069
582,HGDP00696
583,HGDP00687
584,HGDP00121
585,HGDP00388
586,HGDP01248
587,HGDP00698
588,HGDP00037
589,HGDP00307
590,HGDP00407
591,HGDP00259
592,HGDP00571
593,HGDP00873
594,HGDP00663
595,HGDP01041
596,HGDP00999
597,HGDP00704
598,HGDP01277
599,HGDP01152
600,HGDP00708
601,HGDP00869
602,HGDP00909
603,HGDP00641
604,HGDP00591
605,HGDP00643
606,HGDP00676
607,HGDP01369
608,HGDP00640
609,HGDP00810
610,HGDP00673
611,HGDP01379
612,HGDP00577
613,HGDP00686
614,HGDP00614
615,HGDP00732
616,HGDP01268
617,HGDP00054
618,HGDP00191
619,HGDP00311
620,HGDP00669
621,HGDP01072
622,HGDP01162
623,HGDP00995
624,HGDP00876
625,HGDP00854
626,HGDP00875
627,HGDP01056
628,HGDP00752
629,HGDP01058
630,HGDP00753
631,HGDP00832
632,HGDP00727
633,HGDP00679
634,HGDP00688
635,HGDP01260
636,HGDP00635
637,HGDP00672
638,HGDP01378
639,HGDP00557
640,HGDP00678
641,HGDP01254
642,HGDP01217
643,HGDP00638
644,HGDP00618
645,HGDP00949
646,HGDP00759
647,HGDP00230
648,HGDP00068
649,HGDP00029
650,HGDP00553
651,HGDP00615
652,HGDP01309
653,HGDP01060
654,HGDP00628
655,HGDP00859
656,HGDP01053
657,HGDP01027
658,HGDP00805
659,HGDP00872
660,HGDP00594
661,HGDP00624
662,HGDP00598
663,HGDP00647
664,HGDP00735
665,HGDP00699
666,HGDP00602
667,HGDP00586
668,HGDP00648
669,HGDP01239
670,HGDP00690
671,HGDP00017
672,HGDP01270
673,HGDP00444
674,HGDP00197
675,HGDP00560
676,HGDP01059
677,HGDP00849
678,HGDP01276
679,HGDP01262
680,HGDP00906
681,HGDP00625
682,HGDP01282
683,HGDP01373
684,HGDP00607
685,HGDP00683
686,HGDP00738
687,HGDP00739
688,HGDP00629
689,HGDP00746
690,HGDP00619
691,HGDP00636
692,HGDP00574
693,HGDP01370
694,HGDP01077
695,HGDP00587
696,HGDP00599
697,HGDP01174
698,HGDP00637
699,HGDP00677
700,HGDP00748
701,HGDP00171
702,HGDP00041
703,HGDP00023
704,HGDP01372
705,HGDP01151
706,HGDP00558
707,HGDP01275
708,HGDP00454
709,HGDP00860
710,HGDP00455
711,HGDP00549
712,HGDP00861
713,HGDP00551
714,HGDP00611
715,HGDP00730
716,HGDP00745
717,HGDP00564
718,HGDP01377
719,HGDP00666
720,HGDP00959
721,HGDP01271
722,HGDP00433
723,HGDP00397
724,HGDP00237
725,HGDP00806
726,HGDP01177
727,HGDP01302
728,HGDP00804
729,HGDP01019
730,HGDP01055
731,HGDP00729
732,HGDP01010
733,HGDP01014
734,HGDP00871
735,HGDP00862
736,HGDP00634
